episode,avg_reward,avg_r_info,avg_r_track,avg_r_action,avg_r_boundary,avg_r_collision,avg_r_uncertainty,clip_ratio,acquire,keep,lost,unlock,reacquire
156,-15.411443,-0.070137,-0.086210,-0.028303,-0.381922,0.000000,0.217181,0.280000,1,6,5,1,0
157,3.369508,-0.037614,-0.073115,-0.028746,-0.141992,0.000000,0.183771,0.258000,2,7,10,2,0
158,-9.098515,-0.097174,-0.121693,-0.026421,-0.218265,0.000000,0.219234,0.286000,2,17,9,2,0
159,3.033039,-0.030790,-0.119529,-0.025422,-0.342730,0.000000,0.201828,0.232000,3,19,13,2,0
160,-1.874957,-0.138155,0.196975,-0.025882,-0.231770,0.000000,0.146993,0.234000,4,41,14,3,0
161,-13.745991,-0.020421,-0.176364,-0.023430,-0.262465,0.000000,0.148077,0.260000,3,20,15,3,0
162,8.606827,-0.102075,-0.014624,-0.033639,-0.186179,0.000000,0.244008,0.324000,3,20,13,3,0
163,-11.741132,-0.135470,-0.030720,-0.022342,-0.293678,-0.000511,0.121224,0.230000,4,52,15,2,0
164,6.057143,-0.000000,-0.035565,-0.028249,-0.158788,0.000000,0.188169,0.268000,3,15,15,3,0
165,4.685625,-0.138155,-0.015811,-0.028019,-0.187330,0.000000,0.146296,0.222000,4,33,14,2,0
166,-4.808462,-0.038329,-0.115929,-0.024389,-0.217457,0.000000,0.204731,0.270000,4,22,20,4,0
167,-9.898763,-0.046052,0.048384,-0.027776,-0.245398,0.000000,0.143207,0.206000,3,39,17,2,1
168,4.649989,-0.171770,-0.067003,-0.028529,-0.169475,0.000000,0.195131,0.270000,2,12,9,2,0
169,-0.398136,0.000000,0.182386,-0.025034,-0.205942,0.000000,0.205197,0.278000,2,10,8,2,0
170,-28.879751,-0.104231,-0.056176,-0.025439,-0.691188,0.000000,0.231444,0.388000,3,14,14,3,0
171,-9.159530,-0.134620,-0.226110,-0.027541,-0.153793,0.000000,0.189179,0.314000,3,27,13,3,0
172,-0.655842,-0.163013,-0.036124,-0.028494,-0.174389,0.000000,0.187788,0.222000,3,17,14,3,0
173,4.098508,-0.214202,0.031902,-0.027436,-0.186549,0.000000,0.183599,0.268000,3,21,11,2,0
174,-43.774596,-0.131526,-0.122409,-0.021854,-0.473675,0.000000,0.150752,0.204000,3,23,15,3,0
175,24.306135,-0.027545,-0.037065,-0.033050,-0.122162,0.000000,0.214103,0.296000,2,13,13,2,1
176,-8.432587,-0.186866,-0.062590,-0.025609,-0.211720,0.000000,0.161204,0.290000,3,11,9,2,0
177,1.120939,-0.074824,-0.064710,-0.023658,-0.247012,0.000000,0.174134,0.266000,2,11,8,2,0
178,-8.541819,-0.074681,-0.203164,-0.027792,-0.213827,0.000000,0.136139,0.278000,3,67,15,3,0
179,-12.378498,-0.045064,0.119967,-0.027918,-0.364877,0.000000,0.173589,0.220000,2,18,9,1,0
180,-11.471610,-0.114147,-0.241777,-0.030025,-0.186623,0.000000,0.157378,0.254000,3,34,14,3,0
181,0.003350,-0.241656,-0.052978,-0.030073,-0.204481,0.000000,0.123745,0.222000,4,36,14,2,0
182,6.971701,-0.053128,-0.014658,-0.026523,-0.370833,0.000000,0.183259,0.246000,2,14,8,2,0
183,3.893369,-0.138155,0.154526,-0.030052,-0.218409,0.000000,0.151704,0.204000,4,39,19,3,0
184,2.775617,-0.062762,0.149369,-0.027657,-0.264121,0.000000,0.160653,0.220000,3,14,17,3,0
185,3.706502,-0.072173,0.276256,-0.027756,-0.262903,0.000000,0.172718,0.246000,2,13,12,2,0
186,10.431738,-0.159650,0.166013,-0.028185,-0.223536,0.000000,0.159387,0.236000,3,46,14,2,1
187,-3.828982,-0.175353,-0.186175,-0.028419,-0.187748,0.000000,0.194196,0.244000,2,28,9,2,0
188,1.904462,-0.018469,-0.159979,-0.028725,-0.233242,0.000000,0.200711,0.278000,3,16,11,2,0
189,-3.451338,-0.000000,-0.134818,-0.032245,-0.206326,0.000000,0.190707,0.244000,3,12,13,2,0
190,-6.005784,-0.000000,0.002882,-0.028827,-0.240151,0.000000,0.146225,0.240000,3,16,11,2,0
191,11.704198,-0.057074,-0.085979,-0.030631,-0.133023,0.000000,0.188617,0.268000,3,15,11,2,0
