episode,avg_detect_streak,avg_lost_streak,lock_count,lock_time_ratio,target_covered_ratio,avg_r_info,avg_r_uncertainty,avg_r_track,avg_r_action,avg_r_collision,avg_r_out,avg_total_raw
146,0.420000,1.470000,3,0.080000,0.140000,0.000000,0.000118,-0.053493,-0.028640,0.000000,-0.269567,-0.351581
147,0.788000,1.270000,3,0.108000,0.210000,0.000000,0.000714,-0.051306,-0.026541,0.000000,-0.608310,-0.685442
148,0.188000,0.750000,2,0.052000,0.100000,0.000000,0.000954,-0.031767,-0.036361,0.000000,-0.300748,-0.367921
149,0.114000,1.570000,2,0.044000,0.070000,0.000000,0.000366,-0.029755,-0.037359,0.000000,-0.340301,-0.407050
150,0.100000,1.590000,3,0.052000,0.070000,0.000000,0.000379,-0.055983,-0.037719,0.000000,-0.331343,-0.424666
151,0.030000,0.900000,1,0.018000,0.025000,0.000000,0.000522,-0.019831,-0.035804,0.000000,-0.323521,-0.378634
152,0.130000,1.518000,3,0.068000,0.105000,0.000000,0.000214,-0.068533,-0.037017,0.000000,-0.328564,-0.433901
153,0.076000,1.630000,2,0.038000,0.055000,-0.000000,0.000247,-0.036001,-0.037267,0.000000,-0.338440,-0.411460
154,0.240000,1.490000,3,0.072000,0.120000,0.000000,0.000404,-0.045022,-0.035279,0.000000,-0.379330,-0.459227
155,0.096000,1.590000,2,0.038000,0.055000,-0.000000,0.000660,-0.008778,-0.037079,0.000000,-0.340118,-0.385315
156,0.306000,1.470000,3,0.074000,0.125000,0.000000,0.000258,-0.030980,-0.034350,0.000000,-0.351594,-0.416666
157,0.310000,1.400000,3,0.080000,0.140000,0.000000,0.000451,-0.044475,-0.036498,0.000000,-0.332370,-0.412891
158,0.140000,1.510000,3,0.062000,0.095000,0.000000,0.000340,-0.041159,-0.035952,0.000000,-0.383509,-0.460280
159,0.084000,1.640000,2,0.040000,0.060000,-0.000000,0.000160,-0.031668,-0.035301,0.000000,-0.361151,-0.427960
160,0.230000,1.430000,3,0.072000,0.120000,0.000000,0.000485,-0.113028,-0.033163,0.000000,-0.362611,-0.508317
161,0.140000,1.550000,3,0.060000,0.090000,0.000000,0.000211,-0.086889,-0.033115,0.000000,-0.349042,-0.468836
162,0.114000,1.590000,2,0.044000,0.070000,0.000000,0.000290,-0.037754,-0.033149,0.000000,-0.363147,-0.433760
163,0.120000,1.630000,2,0.044000,0.070000,0.000000,0.000118,-0.026983,-0.034201,0.000000,-0.355793,-0.416859
164,0.214000,0.732000,2,0.056000,0.095000,0.000000,0.000623,0.054096,-0.032616,0.000000,-0.478702,-0.456599
165,0.232000,1.520000,3,0.070000,0.115000,0.000000,0.000133,-0.041418,-0.035390,0.000000,-0.356238,-0.432913
166,0.246000,1.470000,3,0.074000,0.125000,0.000000,0.000255,-0.023940,-0.030163,0.000000,-0.364340,-0.418188
167,0.146000,1.552000,4,0.072000,0.120000,0.000000,0.000282,-0.068519,-0.035326,0.000000,-0.314961,-0.418524
168,0.096000,1.600000,2,0.038000,0.055000,-0.000000,0.000666,-0.029413,-0.030893,0.000000,-0.373168,-0.432808
169,0.110000,1.570000,3,0.056000,0.080000,-0.000000,0.000208,-0.035448,-0.035265,0.000000,-0.337130,-0.407634
170,0.466000,0.674000,3,0.080000,0.165000,0.000000,0.000662,-0.054600,-0.031704,0.000000,-0.532018,-0.617660
171,0.302000,1.410000,3,0.076000,0.130000,0.000000,0.000471,-0.033554,-0.030207,0.000000,-0.379136,-0.442426
172,0.258000,1.510000,3,0.072000,0.120000,0.000000,0.000109,-0.046068,-0.030594,0.000000,-0.340933,-0.417487
173,0.192000,0.722000,2,0.056000,0.155000,-0.000000,0.000702,-0.043875,-0.030347,0.000000,-0.505450,-0.578971
174,0.140000,1.540000,3,0.060000,0.090000,-0.000000,0.000380,-0.103405,-0.032453,0.000000,-0.329048,-0.464526
175,0.304000,0.612000,3,0.084000,0.190000,0.000000,0.000918,-0.124608,-0.027360,0.000000,-0.605918,-0.756968
176,0.140000,1.550000,4,0.072000,0.100000,0.000000,0.000428,-0.128135,-0.030801,-0.011892,-0.429929,-0.600330
177,0.296000,1.430000,3,0.078000,0.135000,-0.000000,0.000350,-0.025979,-0.033802,0.000000,-0.357067,-0.416498
178,0.254000,1.460000,3,0.072000,0.120000,0.000000,0.000330,-0.027087,-0.032112,0.000000,-0.360033,-0.418902
179,0.156000,1.590000,4,0.066000,0.085000,0.000000,0.000331,-0.117382,-0.033478,0.000000,-0.347949,-0.498479
180,0.154000,2.380000,4,0.072000,0.100000,-0.000000,0.001218,-0.050343,-0.035820,0.000000,-0.331802,-0.416748
181,0.084000,1.610000,2,0.038000,0.055000,0.000000,0.000337,-0.023132,-0.035374,0.000000,-0.337448,-0.395617
182,0.180000,1.490000,3,0.060000,0.090000,-0.000000,0.000478,-0.103161,-0.034196,0.000000,-0.378283,-0.515162
183,0.294000,1.400000,3,0.076000,0.130000,0.000000,0.000512,-0.023939,-0.033279,0.000000,-0.376015,-0.432720
184,0.194000,1.500000,3,0.066000,0.105000,0.000000,0.000278,-0.102620,-0.031789,0.000000,-0.362429,-0.496560
185,0.294000,1.470000,3,0.074000,0.125000,0.000000,0.000250,-0.035225,-0.032958,0.000000,-0.363583,-0.431517
186,0.236000,1.490000,3,0.068000,0.110000,0.000000,0.000309,-0.056155,-0.033995,0.000000,-0.352238,-0.442079
187,0.274000,1.440000,3,0.074000,0.125000,-0.000000,0.000380,-0.012538,-0.033167,0.000000,-0.323482,-0.368807
188,0.166000,0.760000,2,0.050000,0.085000,0.000000,0.000980,-0.024409,-0.030991,0.000000,-0.451478,-0.505897
189,0.260000,1.500000,3,0.076000,0.130000,0.000000,0.000167,-0.146771,-0.026631,-0.006846,-0.510856,-0.690937
190,0.576000,2.030000,5,0.130000,0.215000,-0.000000,0.000664,-0.094401,-0.032405,0.000000,-0.286438,-0.412579
191,0.042000,1.630000,2,0.032000,0.040000,-0.000000,0.000679,-0.021930,-0.035488,0.000000,-0.246685,-0.303425
192,0.204000,1.460000,3,0.068000,0.110000,0.000000,0.000800,-0.109708,-0.032826,0.000000,-0.314860,-0.456595
193,1.390000,1.262000,3,0.128000,0.325000,0.000000,0.000055,0.009196,-0.028502,-0.011573,-0.714047,-0.744871
194,0.372000,2.180000,4,0.100000,0.145000,0.000000,0.000404,-0.047152,-0.032079,-0.000201,-0.344755,-0.423782
195,0.248000,2.240000,4,0.084000,0.120000,0.000000,0.000434,-0.014140,-0.032309,0.000000,-0.359030,-0.405046
196,0.310000,1.442000,4,0.096000,0.180000,0.000000,0.000080,-0.092930,-0.029535,0.000000,-0.659419,-0.781803
197,0.146000,2.370000,3,0.058000,0.075000,0.000000,0.000669,-0.000182,-0.032157,0.000000,-0.380838,-0.412508
198,0.218000,2.240000,5,0.092000,0.115000,-0.000000,0.000377,-0.111172,-0.034117,0.000000,-0.303935,-0.448847
199,0.150000,2.420000,3,0.060000,0.080000,0.000000,0.000096,-0.031612,-0.030741,0.000000,-0.347874,-0.410131
200,0.076000,1.610000,2,0.038000,0.055000,-0.000000,0.001033,-0.031671,-0.032866,0.000000,-0.368992,-0.432495
201,0.134000,2.410000,3,0.058000,0.075000,0.000000,0.000245,-0.011275,-0.029526,0.000000,-0.427415,-0.467972
202,0.132000,2.390000,3,0.060000,0.065000,0.000000,0.000329,-0.009678,-0.036564,0.000000,-0.163680,-0.209592
203,0.104000,2.340000,3,0.054000,0.065000,0.000000,0.000625,-0.035225,-0.036099,0.000000,-0.157577,-0.228277
204,0.086000,1.650000,2,0.040000,0.060000,0.000000,0.000204,-0.050545,-0.037220,0.000000,-0.158991,-0.246552
205,0.128000,2.370000,3,0.060000,0.070000,0.000000,0.000313,-0.014022,-0.030941,0.000000,-0.217080,-0.261731
206,0.128000,2.380000,3,0.060000,0.065000,0.000000,0.000316,-0.017188,-0.034207,0.000000,-0.195183,-0.246261
207,0.200000,2.300000,3,0.066000,0.090000,0.000000,0.000544,-0.012802,-0.033167,-0.011377,-0.203678,-0.260481
208,0.118000,2.400000,3,0.058000,0.065000,0.000000,0.000271,-0.032662,-0.034621,0.000000,-0.172460,-0.239472
209,0.134000,2.400000,3,0.060000,0.075000,0.000000,0.000230,-0.044702,-0.036959,0.000000,-0.143467,-0.224899
210,0.142000,2.300000,4,0.072000,0.075000,0.000000,0.000471,-0.033694,-0.037905,0.000000,-0.109154,-0.180281
211,0.160000,2.340000,4,0.074000,0.080000,0.000000,0.000392,-0.044164,-0.035401,0.000000,-0.135452,-0.214625
212,0.522000,2.130000,4,0.114000,0.175000,0.000000,0.000268,-0.077429,-0.026776,-0.043131,-0.356503,-0.503571
213,0.536000,2.060000,5,0.134000,0.230000,-0.000000,0.000227,-0.066700,-0.027959,-0.003394,-0.203161,-0.300986
214,0.296000,2.250000,4,0.094000,0.140000,0.000000,0.000982,-0.032614,-0.027939,0.000000,-0.247162,-0.306733
