episode,avg_detect_streak,avg_lost_streak,lock_count,lock_time_ratio,target_covered_ratio,avg_r_info,avg_r_uncertainty,avg_r_track,avg_r_action,avg_r_collision,avg_r_out,avg_total_raw
266,0.344000,2.200000,4,0.100000,0.170000,-0.013265,0.001503,-0.010805,-0.032228,0.000000,-0.426959,-0.481755
267,0.186000,1.460000,3,0.068000,0.070000,-0.105285,0.003214,-0.010618,-0.032937,0.000000,-0.497127,-0.642753
268,0.128000,1.720000,3,0.054000,0.075000,-0.088354,0.003725,0.047541,-0.037554,0.000000,-0.336701,-0.411344
269,1.210000,2.390000,6,0.186000,0.345000,-0.065004,0.002502,-0.032771,-0.037270,0.000000,-0.253069,-0.385612
270,0.300000,1.320000,4,0.082000,0.140000,-0.151787,0.003263,-0.010868,-0.036073,0.000000,-0.161099,-0.356563
271,0.512000,2.190000,4,0.106000,0.205000,-0.207593,0.002907,-0.041956,-0.032926,0.000000,-0.523781,-0.803350
272,0.506000,2.650000,5,0.134000,0.235000,-0.190345,0.003789,0.065508,-0.034230,0.000000,-0.344026,-0.499303
273,0.664000,2.160000,6,0.122000,0.175000,-0.135565,0.001263,-0.094622,-0.034681,0.000000,-0.196666,-0.460271
274,0.124000,1.710000,3,0.058000,0.085000,-0.071632,0.001004,-0.060699,-0.035839,0.000000,-0.212017,-0.379183
275,0.316000,0.910000,4,0.084000,0.150000,-0.024375,0.002873,-0.107518,-0.034058,0.000000,-0.296830,-0.459908
276,0.262000,1.366000,6,0.108000,0.195000,-0.007204,0.002071,0.096690,-0.039629,0.000000,-0.075684,-0.023755
277,0.162000,0.550000,2,0.042000,0.130000,-0.094460,0.005423,-0.027923,-0.034961,0.000000,-0.208408,-0.360331
278,0.190000,1.620000,4,0.080000,0.100000,-0.113156,0.003577,-0.044055,-0.032559,0.000000,-0.365433,-0.551626
279,0.092000,1.150000,3,0.054000,0.075000,-0.087557,0.004888,-0.001603,-0.032750,0.000000,-0.131514,-0.248537
280,0.488000,2.700000,9,0.174000,0.275000,-0.035835,0.001784,0.113301,-0.039550,0.000000,-0.215216,-0.175515
281,0.314000,0.300000,2,0.060000,0.110000,-0.219817,0.005354,-0.036700,-0.030553,0.000000,-0.449229,-0.730946
282,0.658000,2.202000,7,0.170000,0.275000,-0.024239,0.003970,0.056906,-0.039609,0.000000,-0.082957,-0.085928
283,0.210000,1.560000,4,0.078000,0.135000,-0.099684,0.001894,-0.048459,-0.031414,0.000000,-0.526181,-0.703844
284,0.146000,1.200000,2,0.048000,0.080000,-0.033670,0.002774,-0.001820,-0.033399,0.000000,-0.318980,-0.385095
285,0.246000,2.320000,4,0.090000,0.145000,-0.029930,0.001724,-0.128418,-0.032769,0.000000,-0.189567,-0.378960
